"region","age","2016"
"1884 Nora","30-49 years",467.2
"1884 Nora","50-64 years",486.8
"1885 Lindesberg","18-29 years",314.9
"1885 Lindesberg","30-49 years",467.2
"1885 Lindesberg","50-64 years",467.6
"1904 Skinnskatteberg","18-29 years",291.2
"1904 Skinnskatteberg","30-49 years",444.2
"1904 Skinnskatteberg","50-64 years",425.2
"1907 Surahammar","18-29 years",340.3
"1907 Surahammar","30-49 years",475.9
"1907 Surahammar","50-64 years",451.3
"1960 Kungsör","18-29 years",318.1
"1960 Kungsör","30-49 years",469.7
"1960 Kungsör","50-64 years",460.7
"1961 Hallstahammar","18-29 years",328.0
"1961 Hallstahammar","30-49 years",476.2
"1961 Hallstahammar","50-64 years",467.6
"1962 Norberg","18-29 years",292.3
"1962 Norberg","30-49 years",452.2
"1962 Norberg","50-64 years",486.6
"1980 Västerås","18-29 years",323.6
"1980 Västerås","30-49 years",530.6
"1980 Västerås","50-64 years",560.2
"1981 Sala","18-29 years",312.3
"1981 Sala","30-49 years",481.3
"1981 Sala","50-64 years",485.5
"1982 Fagersta","18-29 years",300.6
"1982 Fagersta","30-49 years",431.6
"1982 Fagersta","50-64 years",433.8
"1983 Köping","18-29 years",320.2
"1983 Köping","30-49 years",448.2
"1983 Köping","50-64 years",474.2
"1984 Arboga","18-29 years",288.5
"1984 Arboga","30-49 years",450.5
"1984 Arboga","50-64 years",457.8
"2021 Vansbro","18-29 years",315.1
"2021 Vansbro","30-49 years",430.7
"2021 Vansbro","50-64 years",457.7
"2023 Malung-Sälen","18-29 years",315.1
"2023 Malung-Sälen","30-49 years",454.0
"2023 Malung-Sälen","50-64 years",461.2
"2026 Gagnef","18-29 years",372.7
"2026 Gagnef","30-49 years",505.7
"2026 Gagnef","50-64 years",514.2
"2029 Leksand","18-29 years",333.3
"2029 Leksand","30-49 years",534.2
"2029 Leksand","50-64 years",511.6
"2031 Rättvik","18-29 years",337.6
"2031 Rättvik","30-49 years",458.4
"2031 Rättvik","50-64 years",465.4
"2034 Orsa","18-29 years",293.0
"2034 Orsa","30-49 years",417.7
"2034 Orsa","50-64 years",434.5
"2039 Älvdalen","18-29 years",324.3
"2039 Älvdalen","30-49 years",440.2
"2039 Älvdalen","50-64 years",425.9
"2061 Smedjebacken","18-29 years",354.2
"2061 Smedjebacken","30-49 years",469.0
"2061 Smedjebacken","50-64 years",460.6
"2062 Mora","18-29 years",328.9
"2062 Mora","30-49 years",487.7
"2062 Mora","50-64 years",474.3
"2080 Falun","18-29 years",289.8
"2080 Falun","30-49 years",492.1
"2080 Falun","50-64 years",533.1
"2081 Borlänge","18-29 years",301.9
"2081 Borlänge","30-49 years",453.2
